username,timestamp,content,mentions,hashtags
AllAboutNAV,2025-07-12T05:02:17.000Z,"AllAboutNAV
@about_nav
·
3h
#Results Updates:

1. Madhya Bharat Agro (#MBAPL)
2. #Elecon Engineering
3. Avenue Supermarts (#DMART)
4. Aditya Birla Money (#BIRLAMONEY)
5. Nath Bio-Genes (#NATHBIOGEN)
6. #Sanginita Chemicals

#Q1Results #Q1FY26 #Nifty #Nifty50 #NiftyBank #GLENMARK #TCS #Amber #IREDA #BSE
4
609",@about_nav,"#Results, #MBAPL, #Elecon, #DMART, #BIRLAMONEY, #NATHBIOGEN, #Sanginita, #Q1Results, #Q1FY26, #Nifty, #Nifty50, #NiftyBank, #GLENMARK, #TCS, #Amber, #IREDA, #BSE"
BMSMONEY,2025-07-12T05:00:00.000Z,"BMSMONEY
@BMS_MONEY
·
3h
Top 10   Pharma Mutual Funds for 2025 Ranked by composite performance score
  As of June 30, 2025. Explore top-tier funds for your investment   goals! 
    https://bmsmoney.com/eng/mutual-fund/top-performing-pharma-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank
Show more
41",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank"
राजेश सनातनी,2025-07-12T04:52:18.000Z,"राजेश सनातनी
@rajesh271285400
·
4h
Aur Kuch Gyaani log Ise Jua Bolte hain 
---
 India’s Bulls Beat the Economy!
Stock Market crosses ₹400 Lakh Crore — More Valuable than India’s GDP! 
#IndiaShareMarket #GDPvsMarketCap #StockMarketIndia #InvestSmart #Nifty50
43",@rajesh271285400,"#IndiaShareMarket, #GDPvsMarketCap, #StockMarketIndia, #InvestSmart, #Nifty50"
ET NOW,2025-07-12T04:41:03.000Z,"ET NOW
@ETNOWlive
·
4h
India Vs RoW | Here's how the major global indices performed last week 

#Nifty50 #Nasdaq #DowJones #FTSE #CAC #DAX #HangSeng #Kospi #Shanghai #Nikkei
1
1
5
2.1K",@ETNOWlive,"#Nifty50, #Nasdaq, #DowJones, #FTSE, #CAC, #DAX, #HangSeng, #Kospi, #Shanghai, #Nikkei"
MeghaTrader,2025-07-12T04:34:42.000Z,"MeghaTrader
@MeghaTrader_MT
·
4h
Exceptional winner pattern

#Nifty50
1
107",@MeghaTrader_MT,#Nifty50
BMSMONEY,2025-07-12T04:30:00.000Z,"BMSMONEY
@BMS_MONEY
·
4h
Top 10   Manufacturing Mutual Funds for 2025 Ranked by composite performance   score
  As of June 30, 2025. Find the best fund picks to secure your   future! 
    https://bmsmoney.com/eng/mutual-fund/top-performing-manufacturing-fund…
    #mutualfunds #MutualFundsSahiHai #NIFTYFUTURE #nifty50 #NiftyIT   #NiftyMidcap #NiftyBank
Show more
41",@BMS_MONEY,"#mutualfunds, #MutualFundsSahiHai, #NIFTYFUTURE, #nifty50, #NiftyIT, #NiftyMidcap, #NiftyBank"
Green Red Stocks,2025-07-12T04:29:09.000Z,"Green Red Stocks
@GreenRedStocks
·
4h
This one Setting up for well for short term ....Chart looks good... #ALICON #Nifty #banknifty #Nifty50 #SwingTrading
97",@GreenRedStocks,"#ALICON, #Nifty, #banknifty, #Nifty50, #SwingTrading"
Trading Zone,2025-07-12T04:27:54.000Z,"Trading Zone
@prsablue
·
4h
#SAKSOFT

Historical data of 2021,2023 suggested strong moves in July.

We caught this on 3rd July,2025

#nifty #nifty50 #sensex #stockmarket #banknifty #StocksToWatch #giftnifty #StocksInFocus #stocks
Quote
Ravi Sharma
@StocksNerd
·
Jul 6
3:50
A trainee of mine (@prsablue) took a position in #SAKSOFT last week.

He spotted the setup using Shapers, tracked the Price/Volume footprints and backed it up with a solid breakdown.

What stood out even more?
He documented his reasoning, broke it down step-by-step and posted the
5
370","@prsablue, @StocksNerd, @prsablue","#SAKSOFT, #nifty, #nifty50, #sensex, #stockmarket, #banknifty, #StocksToWatch, #giftnifty, #StocksInFocus, #stocks, #SAKSOFT"
Mota Bhai - Chart is King (NISM Certified),2025-07-12T04:27:53.000Z,"Mota Bhai - Chart is King (NISM Certified)
@ASR_Official1
·
4h
#Nifty50 #StockMarketIndia #StockMarketUpdate
1
55",@ASR_Official1,"#Nifty50, #StockMarketIndia, #StockMarketUpdate"
Deepakchandra Maurya,2025-07-12T04:27:26.000Z,"Indian Stock Market
Deepakchandra Maurya
@Elliott_Trader_
·
4h
Nifty View for 14th July...
According to price action or opening of the market u can play this levels...
#Nifty #Nifty50 #niftycrash #stockmarketcrash #StockMarketIndia #StockMarketUpdate #optiontrading #Trending #explore
1
220",@Elliott_Trader_,"#Nifty, #Nifty50, #niftycrash, #stockmarketcrash, #StockMarketIndia, #StockMarketUpdate, #optiontrading, #Trending, #explore"
Komal Securities..,2025-07-12T04:23:53.000Z,"Komal Securities..
@KomalSecurities
·
4h
PM E-Drive scheme will fuel the growth to E-truck manufacturers like #AshokLeyland #TataMotors #EicherMotors etc. as ppl will start shifting from conventional truck to electric truck slowly slowly...

#Komalsecurities #StockMarket #Investing #Equity #Nse #Nifty50.
1
167",@KomalSecurities,"#AshokLeyland, #TataMotors, #EicherMotors, #Komalsecurities, #StockMarket, #Investing, #Equity, #Nse, #Nifty50"
ckacraj,2025-07-12T04:16:03.000Z,"ckacraj
@ckacraj
·
4h
NIFTY: BULL or BEAR? 12-JUL-2025
https://ewavesjournal.blogspot.com/2025/07/nifty-bull-or-bear-12-jul-2025.html…
https://ewavesjournal.blogspot.com/2025/07/nifty-bull-or-bear-25405-analysis-o
